issue_id,severity,affected_files,planned_repair,test_requirement,terminal_status
V5C-001,CRITICAL,"scripts/coregraph/run_saved_output_pilot.py; configs/coregraph/pilot/saved_output_v5_readiness.yaml","Add an authoritative V5-native executor and route legacy V4 entry points clearly","V5 CLI synthetic execute and guarded real execute tests",CLOSED
V5C-002,CRITICAL,"coregraph/experiments/pilot.py; results/coregraph_build/V5_*.csv","Model role-neutral base artifacts plus scenario-local bindings instead of coercing V5 into V4 roles","180/60/540 materialisation and cross-scenario role-reuse tests",CLOSED
V5C-003,CRITICAL,"coregraph/experiments; scripts/coregraph","Implement archive-to-scenario adapter with bounded ZIP streaming and row-key alignment","archive/member checksum, chunk, duplicate, reorder, and alignment tests",CLOSED
V5C-004,CRITICAL,"coregraph/experiments; scripts/coregraph","Separate target-unlabelled inference from immutable offline evaluation with a structural label firewall","adversarial label-access, pre-freeze metric, and evaluator-immutability tests",CLOSED
V5C-005,CRITICAL,"coregraph/experiments; configs/coregraph/pilot","Implement exactly CoReGraph, uniform average, source-validation best fixed expert, and source logistic gate","four-method deterministic synthetic end-to-end test",CLOSED
V5C-006,HIGH,"coregraph/experiments/resume.py; new V5 output layer","Add atomic state transitions, fingerprint-gated reuse, failure records, and stale-output rejection","interruption, corruption, partial, duplicate, config-drift, and archive-drift tests",CLOSED
V5C-007,HIGH,"notebooks/coregraph/01_saved_output_pilot.ipynb","Replace the unset generic execution command with the authoritative V5 CLI","static notebook validation plus synthetic notebook-path smoke",CLOSED
V5C-008,HIGH,"results/coregraph_build/LEVEL4_NEXT_EXECUTION_PROMPTS/01_saved_output_pilot_execution.md","Replace underspecified operator instructions with exact plan, validation, execution, resume, abort, and packaging commands","runbook command audit",CLOSED
V5C-009,HIGH,"configs/coregraph/pilot","Close the authoritative configuration and fail on unknown fields","typed/schema validation and stable config-hash tests",CLOSED
V5C-010,CRITICAL,"results/coregraph_build/V5_*.csv; pilot planning","Generate exactly 60 scenarios, 540 bindings, and 240 primary coordinates","canonical no-training plan and completeness audit",CLOSED
V5C-011,HIGH,"paper_iclr","Align pre-result method text with V5 execution semantics and broaden verified primary-source literature without empirical claims","paper build, citation-TODO, claim-language, and PDF QA gates",CLOSED
V5C-012,HIGH,"README.md; PROJECT_STATE_AND_AUTHORITY.md; results/coregraph_build","Replace stale readiness wording with truthful executor-implemented/pilot-unexecuted status","status-surface and public-tree audits",CLOSED
V5C-013,CRITICAL,"paper_tkde and protected scientific assets","Preserve the frozen 249-file scientific boundary","frozen hash checker reports ZERO_TKDE_SCIENTIFIC_DELTAS",CLOSED
V5C-014,HIGH,"COREGRAPH_LEVEL4_POST_BUILD_INDEPENDENT_AUDIT.md","Named audit file is absent locally; use the master prompt's reproduced authoritative diagnosis and corroborating readiness artifacts, and record the provenance gap","preflight path search recorded in command log",DEFERRED
